SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
FURAMA CITY CENTRE SINGAPORE / SHOPPING CENTRE,60,EU TONG SEN STREET,FURAMA CITY CENTRE SINGAPORE / SHOPPING CENTRE,60 EU TONG SEN STREET FURAMA CITY CENTRE SINGAPORE / SHOPPING CENTRE SINGAPORE 059804,059804,29258.7239820426,29879.826216327,1.28649701803051,103.844628721032
KEAT HONG SHOPPING CENTRE,253,CHOA CHU KANG AVENUE 1,KEAT HONG SHOPPING CENTRE,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253,680253,18103.7591441153,39927.8427333515,1.37736607441394,103.744393648768
SINGAPORE SHOPPING CENTRE,190,CLEMENCEAU AVENUE,SINGAPORE SHOPPING CENTRE,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,239924,29201.1359043466,31168.6460736729,1.29815265394505,103.844111318107
TECK WHYE SHOPPING CENTRE,137,TECK WHYE LANE,TECK WHYE SHOPPING CENTRE,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,680137,19004.1078333827,40224.3126699142,1.38004752975397,103.752483841199
UPPER SERANGOON SHOPPING CENTRE,756,UPPER SERANGOON ROAD,UPPER SERANGOON SHOPPING CENTRE,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,534626,33064.697135333,37286.5960918665,1.35348082277147,103.878828134896
CLEMENTI AVENUE 2 SHOPPING CENTRE,352,CLEMENTI AVENUE 2,CLEMENTI AVENUE 2 SHOPPING CENTRE,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,120352,21103.5526931826,32951.8534610327,1.31427860227337,103.771350557894
FAJAR SHOPPING CENTRE/MULTI STOREY CAR PARK,446A,FAJAR ROAD,FAJAR SHOPPING CENTRE/MULTI STOREY CAR PARK,446A FAJAR ROAD FAJAR SHOPPING CENTRE/MULTI STOREY CAR PARK SINGAPORE 671446,671446,21103.7618449507,40636.744942477,1.38377798738412,103.771350678551
HOLLAND ROAD SHOPPING CENTRE,213,HOLLAND AVENUE,HOLLAND ROAD SHOPPING CENTRE,213 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278968,278968,23776.8097856715,32509.3758863099,1.31027747574117,103.795371162831
VALLEY POINT SHOPPING CENTRE,491,RIVER VALLEY ROAD,VALLEY POINT SHOPPING CENTRE,491 RIVER VALLEY ROAD VALLEY POINT SHOPPING CENTRE SINGAPORE 248371,248371,27290.2090064604,30600.8644037917,1.29301785120185,103.826940805171
CORONATION SHOPPING PLAZA,587,BUKIT TIMAH ROAD,CORONATION SHOPPING PLAZA,587 BUKIT TIMAH ROAD CORONATION SHOPPING PLAZA SINGAPORE 269707,269707,25404.8279538844,34008.4909447618,1.32383512178759,103.809999570047
PARKLANE SHOPPING MALL,35,SELEGIE ROAD,PARKLANE SHOPPING MALL,35 SELEGIE ROAD PARKLANE SHOPPING MALL SINGAPORE 188307,188307,29795.1275293678,31444.2734161112,1.30064530196806,103.849448612005
PENINSULA SHOPPING COMPLEX,3,COLEMAN STREET,PENINSULA SHOPPING COMPLEX,3 COLEMAN STREET PENINSULA SHOPPING COMPLEX SINGAPORE 179804,179804,29886.84073075,30467.0791893303,1.29180789601988,103.850272637854
RAFFLES HOTEL SHOPPING ARCADE,328,NORTH BRIDGE ROAD,RAFFLES HOTEL SHOPPING ARCADE,328 NORTH BRIDGE ROAD RAFFLES HOTEL SHOPPING ARCADE SINGAPORE 188719,188719,30312.4383352436,30881.4786992278,1.29555555072056,103.854096841877
BEDOK SHOPPING COMPLEX,334A,BEDOK ROAD,BEDOK SHOPPING COMPLEX,334A BEDOK ROAD BEDOK SHOPPING COMPLEX SINGAPORE 469509,469509,40766.9500900926,34825.0320062414,1.33121705595586,103.948036721225
TUDOR COURT SHOPPING GALLERY,125,TANGLIN ROAD,TUDOR COURT SHOPPING GALLERY,125 TANGLIN ROAD TUDOR COURT SHOPPING GALLERY SINGAPORE 247921,247921,27039.8263731627,31949.7237428352,1.30521645354447,103.82469096924
